	artist	lyrics
10	The Notorious B.I.G.	"('Fuck all you hoes!' Get a grip, motherfucker!)
Yeah, this album is dedicated
To all the teachers that told me I'd never amount to nothin'
To all the people that lived above the buildings that I was hustlin' in front of
Called the police on me when I was just tryin' to make some money to feed my daughter (it's all good)
And all the niggas in the struggle
You know what I'm sayin'? It's all good, baby baby

It was all a dream, I used to read Word Up! magazine
Salt-n-Pepa and Heavy D up in the limousine
Hangin' pictures on my wall
Every Saturday Rap Attack, Mr. Magic, Marley Marl
I let my tape rock 'til my tape popped
Smokin' weed in Bambu, sippin' on Private Stock
Way back, when I had the red and black lumberjack
With the hat to match
Remember Rappin' Duke? Duh-ha, duh-ha
You never thought that hip-hop would take it this far
Now I'm in the limelight 'cause I rhyme tight
Time to get paid, blow up like the World Trade
Born sinner, the opposite of a winner
Remember when I used to eat sardines for dinner
Peace to Ron G, Brucie B, Kid Capri
Funkmaster Flex, Lovebug Starski
I'm blowin' up like you thought I would
Call the crib, same number, same hood, it's all good
And if you don't know, now you know, nigga

You know very well
Who you are
Don't let 'em hold you down
Reach for the stars
You had a goal
But not that many
'Cause you're the only one
I'll give you good and plenty

I made the change from a common thief
To up close and personal with Robin Leach and I'm far from cheap
I smoke skunk with my peeps all day
Spread love, it's the Brooklyn way
The Moët and Alizé keep me pissy, girls used to diss me
Now they write letters 'cause they miss me
I never thought it could happen, this rapping stuff
I was too used to packing gats and stuff
Now honeys play me close like butter play toast
From the Mississippi down to the East Coast
Condos in Queens, indo for weeks
Sold out seats to hear Biggie Smalls speak
Living life without fear
Puttin' five karats in my baby girl ear
Lunches, brunches, interviews by the pool
Considered a fool 'cause I dropped out of high school
Stereotypes of a black male misunderstood
And it's still all good
And if you don't know, now you know, nigga

You know very well
Who you are
Don't let 'em hold you down
Reach for the stars
You had a goal
But not that many
'Cause you're the only one
I'll give you good and plenty

Super Nintendo, Sega Genesis
When I was dead broke, man, I couldn't picture this
50-inch screen, money-green leather sofa
Got two rides, a limousine with a chauffeur
Phone bill about two G's flat
No need to worry, my accountant handles that
And my whole crew is loungin'
Celebrating every day, no more public housin'
Thinkin' back on my one-room shack
Now my mom pimps an Ac' with minks on her back
And she loves to show me off of course
Smiles every time my face is up in The Source
We used to fuss when the landlord dissed us
No heat, wonder why Christmas missed us
Birthdays was the worst days
Now we sip Champagne when we thirsty
Uh, damn right I like the life I live
'Cause I went from negative to positive
And it's all… (It's all good, nigga)
And if you don't know, now you know, nigga

You know very well
Who you are
Don't let 'em hold you down
And if you don't know, now you know, nigga
Reach for the stars
You had a goal
But not that many
'Cause you're the only one
I'll give you good and plenty
And if you don't know, now you know, nigga

Representin' B-Town in the house
Junior Mafia, mad flavor
Uh, uh, yeah, a'ight

You know very well
Who you are
Don't let 'em hold you down
Reach for the stars
You had a goal
But not that many
'Cause you're the only one
I'll give you good and plenty

Biggie Smalls, it's all good, nigga
Junior Mafia, it's all good, nigga
Bad Boy, it's all good, nigga
It's all good
That's right, '94
And on and on, and on and on
You know very well
It's all good
Who you are
Yeah…
Don't let 'em hold you down
Reach for the stars"
11	2Pac	"Shit, tired of gettin' shot at
Tired of gettin' chased by the police and arrested
Niggas need a spot where we can kick it
A spot where we belong, that's just for us
Niggas ain't gotta get all dressed up and be Hollywood
Y'knahmean? Where do niggas go when we die?
Ain't no heaven for a thug nigga
That's why we go to thug mansion
That's the only place where thugs get in free
And you gotta be a G, at thug mansion

A place to spend my quiet nights, time to unwind
So much pressure in this life of mine, I cry at times
I once contemplated suicide, and woulda tried
But when I held that 9, all I could see was my mama's eyes
No one knows my struggle, they only see the trouble
Not knowin' it's hard to carry on when no one loves you
Picture me inside the misery of poverty
No man alive has ever witnessed struggles I survived
Prayin' hard for better days, promise to hold on
Me and my dawgs ain't have a choice but to roll on
We found a finally spot to kick it
Where we can drink liquor and no one bickers over trick shit
A spot where we can smoke in peace, and even though we G's
We still visualize places that we can roll in peace
And in my mind's eye, I see this place the players go and pass it
I got a spot for us all, so we can ball, at thug's mansion

Ain't no place I'd rather be
Chillin' with homies and family
Sky high, iced out, paradise in the sky
Ain't no place I'd rather be
Only place that's right for me
Chromed-out, mansion in paradise, in the sky

Will I survive all the fights and the darkness?
Trouble sparks, they tell me: ""Home is where the heart is.""
Dear departed, I shed tattooed tears
And couldn't sleep good for multiple years
Witness peers catch gunshots; nobody cares
Seen the politicians ban us, they'd rather see us locked in chains
Please explain why they can't stand us
Is there a way for me to change?
Or am I just a victim of things I did to maintain?
I need a place to rest my head
With the little bit of homeboys that remains
‘Cause all the rest dead; is there a spot for us to roll?
If you find it, I'll be right behind ya, show me and I'll go
How can I be peaceful? I'm comin' from the bottom
Watch my daddy scream ""Peace!"" while the other man shot him
I need a house that's full of love, when I need to escape
The deadly places slingin' drugs, in thug's mansion

Ain't no place I'd rather be
Chillin' with homies and family
Sky high, iced out, paradise in the sky
Ain't no place I'd rather be
Only place that's right for me
Chromed-out, mansion in paradise, in the sky

Dear Mama, don't cry, your baby boy's doin' good
Tell the homies I'm in Heaven and they ain't got hoods
Seen a show with Marvin Gaye last night, it had me shook
Drinkin' peppermint Schnapps, with Jackie Wilson and Sam Cooke
Then some lady named Billie Holiday sang
Sittin' there kickin' it with Malcolm 'til the day came
Little Latasha sho' grown
Tell the lady in the liquor store that she's forgiven, so come home
Maybe in time you'll understand
Only God can save us, when Miles Davis cuttin' lose with the band
Just think of all the people that you knew in the past
That passed on, they in Heaven, found peace at last
Picture a place that they exist, together
There has to be a place better than this, in Heaven
So right before I sleep, dear God, what I'm askin'
Remember this face, save me a place in thug's mansion

Ain't no place I'd rather be
Chillin' with homies and family
Sky high, iced out, paradise in the sky (in thugs mansion)
Ain't no place I'd rather be
Only place that's right for me
Chromed-out, mansion in paradise, in the sky (thugs mansion)
Ain't no place I'd rather be
Chillin' with homies and family
Sky high, iced out, paradise, in the sky (in thugs mansion)
Ain't no place I'd rather be
Only place that's right for me
Chromed-out, mansion in paradise, in the sky"
12	Duran Duran	"Mine, immaculate dream made breath and skin
I've been waiting for you
Signed, with a home tattoo
Happy birthday to you was created for you
(Can't ever keep from falling apart at the seams)
(Can not believe you've taken my heart to pieces)
Oh, it'll take a little time
Might take a little crime
To come undone now

We'll try to stay blind
To the hope and fear outside
Hey child, stay wilder than the wind
And blow me into cry

Who do you need, who do you love
When you come undone?
Who do you need, who do you love
When you come undone?

Words, playing me deja vu
Like a radio tune i swear i've heard before
Chills, is it something real
Or the magic I'm feeding off your fingers?
(Can not forgive from falling apart at the seams)
(Can not believe you're taking my heart to pieces)
Lost, in a snow filled sky
We'll make it alright
To come undone now

We'll try to stay blind
To the hope and fear outside
Hey child, stay wilder than the wind
And blow me into cry

Who do you need, who do you love
When you come undone?
Who do you need, who do you love
When you come undone?

(Can not forgive from falling apart)
Who do you need, who do you love
When you come undone?
(Can not forgive from falling apart)
Who do you need, who do you love?
(Can not forgive from falling apart)
Who do you love
When you come undone?
(Can not forgive from falling apart)"
13	Duran Duran	"Came in from a rainy Thursday
On the avenue
Thought I heard you talking softly
I turned on the lights, the TV
And the radio
Still I can't escape the ghost of you
What has happened to it all?
Crazy, some'd say
Where is the life that I recognize?
Gone away
But I won't cry for yesterday
There's an ordinary world
Somehow I have to find
And as I try to make my way
To the ordinary world
I will learn to survive
Passion or coincidence
Once prompted you to say
""Pride will tear us both apart""
Well now pride's gone out the window
Cross the rooftops
Run away
Left me in the vacuum of my heart
What is happening to me?
Crazy, some'd say
Where is my friend when I need you most?
Gone away
But I won't cry for yesterday
There's an ordinary world
Somehow I have to find
And as I try to make my way
To the ordinary world
I will learn to survive
Papers in the roadside
Tell of suffering and greed
Here today, forgot tomorrow
Ooh, here besides the news
Of holy war and holy need
Ours is just a little sorrowed talk
And I don't cry for yesterday
There's an ordinary world
Somehow I have to find
And as I try to make my way
To the ordinary world
I will learn to survive
Every one
Is my world, I will learn to survive
Any one
Is my world, I will learn to survive
Any one
Is my world
Every one
Is my world"
14	Duran Duran	
15	Crack Family	"Gaminart por el paraíso
No le temo a la muerte
Todos vamos para el juicio
Y salir de la calle luchaba
Ahora que estoy afuera
Jalare a los que quieran salir
Crack Family in the streets
Colombian crack music (bis)

Voy directo pa la gente de mis calles
Escuchen bien
No juzgue lo que usted no sabe
Un pensamiento en esto
Nunca te distrabe
Escuche mucho mas de lo que hable

Los efectos mariposas
En cada papel
Y si mañana te va bien
Espero que hoy también
Recuerdas la mujer
Que nunca te fue tan fiel
Se fue como la rima que arrugo ese papel

Analizando la ciudad
Desde otro punto de vista
Haciendo un leve resumen
De lo que ha sido mi vida
Auto analizarme en este día soleado
Y recordarme como pierdo horas
En maricadas que no debía
Darme cuenta que mi tiempo vale
Y cada segundo que pasa
Soy mas fuerte o el débil vencido
Del indomable que arde

Le pido a cristo
Que recuerde cada hora
Antes de rapear bonito
Hay que aprender a ser persona
Contagiese de vida
Y no llene su pipa de bazuca
Esa basura te mortifica
Mas bien ve a casa
Y recoge a tu madre
Que esta noche llega tarde
Y este barrio esta que arde
Por ese niño triste y vacío
Que su inocencia se fue atravesada
En el primer cuchillo

Gaminart por el paraíso
No le temo a la muerte
Todos vamos para el juicio
Y salir de la calle luchaba
Ahora que estoy afuera
Jalare a los que quieran salir
Crack Family in the streets
Colombian crack music (bis)

Es como esa ley de atracción inversa
Entre menos sueñes con la fama
Mas llegas a ella
Filosofía de vida
Que se vende por monedas
Yo tan solo me siento
A la orilla del planeta
Apuntarle a ese pulpo blanco
Que somos mas los raperos que la suma
De sus tentáculos
Obstáculo tras obstáculo
Aerophonico
Crack melódico

It's up
I've been around places
Where all love is farce
I've been around niggas
That it whole left is gone
I thought you saw
And I bet I seen it all
I've achieved this life now nigga
Cuz I've been through war

Hoy sigo siendo el mismo
Labrando lo indecible
Sin miedo a que la sombra
De lo imposible cubra por
Completo lo que hasta hoy
He conseguido con esfuerzo
Lágrimas y promesas al viento
Camino seguro y tranquilo
Decidido a darle respuestas
A mis preguntas sin sentido
Y por mi parte estar convencido
Que no cambio así tuviera dinero
En mis bolsillos

Auto criticarme ?
Lampara arrogante
Burlón, vanidoso a traición
Trabajador de mente mi profesión
Faltón nunca he sido
No se ni lo que quiero
Pero si lo pierdo
Mi alma lo lamentaria
En este día miro al cielo
Lagrimean, mis ojos son ríos
El azul transparente y la brisa
De mi fantasía me hacen un niño
Inocente
No pienso en la gente
Ya se cual es mi camino
Por la cuerda floja
Equilibrando mi destino
Escrito estoy en el libro
De la fantasía
Aerophonicos
Crack melodicos

Gaminart por el paraíso
No le temo a la muerte
Todos vamos para el juicio
Y salir de la calle luchaba
Ahora que estoy afuera
Jalare a los que quieran salir
Crack Family in the streets
Colombian crack music (bis)"
16	Nas	"Life, I wonder
Will it take me under?
I don't know

Imagine smoking weed in the streets without cops harassin'
Imagine going to court with no trial
Lifestyle cruising blue Bahama waters, no welfare supporters
More conscious of the way we raise our daughters
Days are shorter, nights are colder
Feeling like life is over, these snakes strike like a cobra
The world's hot my son got knocked, evidently
It's elementary, they want us all gone eventually
Trooping out of state for a plate of knowledge
If coke was cooked without the garbage
We'd all have the top dollars
Imagine everybody flashin', fashion, designer clothes
Lacing your clique up with diamond Roles
Your people holding dough, no parole, no rubbers
Go in raw, imagine law with no undercovers
Just some thoughts for the mind
I take a glimpse into time
Watch the blimp read ""The World Is Mine""

If I ruled the world (imagine that)
I'd free all my sons, I love 'em love 'em, baby
Black diamonds and pearls
(Could it be, if you could be mine, we'd both shine?)
If I ruled the world
(Still living for today, in these last days and times)

The way to be, paradise like relaxin'
Black, Latino and Anglo-Saxon
Armani Exchange deranged
Cash, Lost Tribe of Shabazz, free at last
Brand new whips to crash, then we laugh in the iller path
The Villa house is for the crew, how we do
Trees for breakfast, dime sexes and Benz stretches
So many years of depression make me vision
The better livin', type of place to raise kids in
Open they eyes to the lies history's told foul
But I'm as wise as the old owl, plus the Gold Child
Seeing things like I was controllin', click rollin'
Tricking six digits on kicks and still holdin'
Trips to Paris, I civilized every savage
Give me one shot, I turn trife life to lavish
Political prisoner set free, stress free
No work release, purple M3's and jet skis
Feel the wind breeze in West Indies
I make Coretta Scott-King mayor the cities
And reverse fiends to Willies
It sounds foul, but every girl I meet'd go downtown
I'd open every cell in Attica, send 'em to Africa

If I ruled the world (imagine that)
I'd free all my sons, I love 'em love 'em, baby
Black diamonds and pearls
(Could it be, if you could be mine, we'd both shine?)
If I ruled the world
(Still living for today, in these last days and times)

And then we'll walk right up to the sun
Hand in hand
We'll walk right up to the sun
We won't land

You'd love to hear the story how the thugs live in worry
Duck down in car seats, heat's mandatory
Running from Jake, getting chased, hunger for papes
These are the breaks, many mistakes go down out of state
Wait, I had to let it marinate, we carry weight
Trying to get laced, flip the ace, stack the safe
Millionaire plan to keep the gat with the cocked hammer
Making moves in Atlanta, back-and-forth scrambler
‘Cause you could have all the chips, be poor or rich
Still nobody want a nigga having shit
If I ruled the world and everything in it, sky's the limit
I push a Q-45 Infinit(i)
It wouldn't be no such thing as jealousies or B Felonies
Strictly living longevity to the destiny
I thought I'd never see, but reality struck
Better find out before your time's out, what the fuck?

If I ruled the world (imagine that)
I'd free all my sons, I love 'em love 'em, baby
Black diamonds and pearls
(Could it be, if you could be mine, we'd both shine?)
If I ruled the world
(Still living for today, in these last days and times)
If I ruled the world, if I ruled, if I ruled (imagine that)
I'd free all my sons, if I ruled, if I ruled
I love 'em love 'em baby
Black diamonds and pearls, black diamonds, black diamonds
(Could it be, if you could be mine, we'd both shine)
If I ruled the world
(Still living for today, in these last days and times)

If I ruled the world, if I ruled
If I ruled, I'd free all my sons
Black diamonds, I love 'em love 'em baby
Black diamonds and pearls, if I ruled
If I ruled the world
If I ruled the world
I love 'em love 'em baby!!"
17	Freddie Gibbs	
18	Supertramp	"Take a look at my girlfriend
She's the only one I got
Not much of a girlfriend
Never seem to get a lot
Take a jumbo across the water
Like to see America
See the girls in California
I'm hoping it's going to come true
But there's not a lot I can do

Could we have kippers for breakfast
Mummy dear, Mummy dear
They got to have 'em in Texas
Cos everyone's a millionaire
I'm a winner, I'm a sinner
Do you want my autograph
I'm a loser, what a joker
I'm playing my jokes upon you
While there's nothing better to do


Don't you look at my girlfriend
She's the only one I got
Not much of a girlfriend
Never seem to get a lot
Take a jumbo cross the water
Like to see America
See the girls in California
I'm hoping it's going to come true
But there's not a lot I can do"
19	Supertramp	"Ooh, yeah
Alright
Here we go again
Hey hey, whoa no, da na, hey hey
Yeah

Give a little bit
Give a little bit of your love to me
I'll give a little bit
I'll give a little bit of my love to you
There's so much that we need to share
So send a smile, and show you care

(Alright, alright)
I'll give a little bit
I'll give a little bit of my life for you
So give a little bit
Give a little bit of your time to me
See the man with the lonely eyes
Oh, take his hand, you'll be surprised

Oh, take it
Ah, yeah
Come along
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah, yeah

Give a little bit
Give a little bit of your love to me
Give a little bit
I'll give a little bit of my life for you
Now's the time that we need to share
So find yourself, we're on our way back home

Oh, going home
Don't you need, don't you need to feel at home?
Oh, yeah, we gotta see
Ooh, yeah, gotta get a feeling
Ooh, yeah, come along too
Whoo!
You can come along too, yeah
Come-a, come-a, come-a, come along

Cha, cha, cha
Ooh, yeah
Ooh, yeah, come along too
Yeah, come along too, yeah
Sing Betty Lou
Come along too
What a long ride
Come a long way
Ooh, sing it tonight
Ooh, yeah"
